"","kingdom","family","quality_grade","n"
"1","Plantae","","needs_id",2010493
"2","Plantae","","research",20
"3","Plantae","Acanthaceae","needs_id",42662
"4","Plantae","Acanthaceae","research",85157
"5","Plantae","Achariaceae","needs_id",379
"6","Plantae","Achariaceae","research",1405
"7","Plantae","Achatocarpaceae","needs_id",89
"8","Plantae","Achatocarpaceae","research",197
"9","Plantae","Acoraceae","needs_id",884
"10","Plantae","Acoraceae","research",985
"11","Plantae","Acrobolbaceae","needs_id",83
"12","Plantae","Acrobolbaceae","research",63
"13","Plantae","Acrochaetiaceae","needs_id",32
"14","Plantae","Acrochaetiaceae","research",7
"15","Plantae","Acrosiphoniaceae","needs_id",44
"16","Plantae","Acrosiphoniaceae","research",13
"17","Plantae","Acrosymphytaceae","needs_id",2
"18","Plantae","Acrosymphytaceae","research",1
"19","Plantae","Acrotylaceae","needs_id",1
"20","Plantae","Actinidiaceae","needs_id",1586
"21","Plantae","Actinidiaceae","research",1681
"22","Plantae","Adelanthaceae","needs_id",67
"23","Plantae","Adelanthaceae","research",23
"24","Plantae","Aextoxicaceae","needs_id",9
"25","Plantae","Aextoxicaceae","research",227
"26","Plantae","Ahnfeltiaceae","needs_id",39
"27","Plantae","Ahnfeltiaceae","research",17
"28","Plantae","Aizoaceae","needs_id",40185
"29","Plantae","Aizoaceae","research",43388
"30","Plantae","Akaniaceae","needs_id",15
"31","Plantae","Akaniaceae","research",138
"32","Plantae","Alethopteridae","needs_id",1
"33","Plantae","Alismataceae","needs_id",20087
"34","Plantae","Alismataceae","research",16996
"35","Plantae","Allisoniaceae","research",1
"36","Plantae","Alseuosmiaceae","needs_id",163
"37","Plantae","Alseuosmiaceae","research",1067
"38","Plantae","Alstroemeriaceae","needs_id",4673
"39","Plantae","Alstroemeriaceae","research",3187
"40","Plantae","Altingiaceae","needs_id",2534
"41","Plantae","Altingiaceae","research",32226
"42","Plantae","Alzateaceae","needs_id",8
"43","Plantae","Alzateaceae","research",5
"44","Plantae","Amaranthaceae","needs_id",130789
"45","Plantae","Amaranthaceae","research",98536
"46","Plantae","Amaryllidaceae","needs_id",100372
"47","Plantae","Amaryllidaceae","research",133448
"48","Plantae","Amblystegiaceae","needs_id",2322
"49","Plantae","Amblystegiaceae","research",1501
"50","Plantae","Amborellaceae","needs_id",2
"51","Plantae","Amborellaceae","research",10
"52","Plantae","Ambuchananiaceae","research",1
"53","Plantae","Amphidiaceae","research",1
"54","Plantae","Anacampserotaceae","needs_id",445
"55","Plantae","Anacampserotaceae","research",850
"56","Plantae","Anacardiaceae","needs_id",66893
"57","Plantae","Anacardiaceae","research",207916
"58","Plantae","Anadyomenaceae","needs_id",22
"59","Plantae","Anadyomenaceae","research",8
"60","Plantae","Anastrophyllaceae","needs_id",155
"61","Plantae","Anastrophyllaceae","research",99
"62","Plantae","Ancistrocladaceae","needs_id",16
"63","Plantae","Ancistrocladaceae","research",14
"64","Plantae","Andreaeaceae","needs_id",255
"65","Plantae","Andreaeaceae","research",67
"66","Plantae","Andreaeobryaceae","needs_id",1
"67","Plantae","Anemiaceae","needs_id",445
"68","Plantae","Anemiaceae","research",1001
"69","Plantae","Aneuraceae","needs_id",771
"70","Plantae","Aneuraceae","research",254
"71","Plantae","Anisophylleaceae","needs_id",25
"72","Plantae","Anisophylleaceae","research",23
"73","Plantae","Annonaceae","needs_id",7347
"74","Plantae","Annonaceae","research",22548
"75","Plantae","Anomodontaceae","needs_id",42
"76","Plantae","Anomodontaceae","research",12
"77","Plantae","Antheliaceae","needs_id",5
"78","Plantae","Antheliaceae","research",8
"79","Plantae","Anthocerotaceae","needs_id",126
"80","Plantae","Anthocerotaceae","research",73
"81","Plantae","Aongstroemiaceae","needs_id",13
"82","Plantae","Aongstroemiaceae","research",37
"83","Plantae","Aphanochaetaceae","needs_id",4
"84","Plantae","Aphanochaetaceae","research",5
"85","Plantae","Aphanopetalaceae","needs_id",8
"86","Plantae","Aphanopetalaceae","research",93
"87","Plantae","Aphloiaceae","needs_id",83
"88","Plantae","Aphloiaceae","research",67
"89","Plantae","Apiaceae","needs_id",242702
"90","Plantae","Apiaceae","research",318072
"91","Plantae","Apocynaceae","needs_id",86055
"92","Plantae","Apocynaceae","research",337342
"93","Plantae","Apodanthaceae","needs_id",10
"94","Plantae","Apodanthaceae","research",96
"95","Plantae","Aponogetonaceae","needs_id",214
"96","Plantae","Aponogetonaceae","research",429
"97","Plantae","Aquifoliaceae","needs_id",38646
"98","Plantae","Aquifoliaceae","research",64716
"99","Plantae","Araceae","needs_id",66551
"100","Plantae","Araceae","research",146980
"101","Plantae","Araliaceae","needs_id",60306
"102","Plantae","Araliaceae","research",108942
"103","Plantae","Araucariaceae","needs_id",2836
"104","Plantae","Araucariaceae","research",3714
"105","Plantae","Archidiaceae","needs_id",5
"106","Plantae","Archidiaceae","research",7
"107","Plantae","Arecaceae","needs_id",50353
"108","Plantae","Arecaceae","research",52077
"109","Plantae","Areschougiaceae","needs_id",34
"110","Plantae","Areschougiaceae","research",33
"111","Plantae","Argophyllaceae","needs_id",320
"112","Plantae","Argophyllaceae","research",1014
"113","Plantae","Aristolochiaceae","needs_id",12700
"114","Plantae","Aristolochiaceae","research",35017
"115","Plantae","Arnelliaceae","needs_id",6
"116","Plantae","Arnelliaceae","research",3
"117","Plantae","Asparagaceae","needs_id",203195
"118","Plantae","Asparagaceae","research",386790
"119","Plantae","Asphodelaceae","needs_id",41230
"120","Plantae","Asphodelaceae","research",46686
"121","Plantae","Aspleniaceae","needs_id",6285
"122","Plantae","Aspleniaceae","research",58380
"123","Plantae","Asteliaceae","needs_id",940
"124","Plantae","Asteliaceae","research",2908
"125","Plantae","Asteraceae","needs_id",2212353
"126","Plantae","Asteraceae","research",2446563
"127","Plantae","Asteropeiaceae","needs_id",18
"128","Plantae","Asteropeiaceae","research",56
"129","Plantae","Atherospermataceae","needs_id",174
"130","Plantae","Atherospermataceae","research",1075
"131","Plantae","Athyriaceae","needs_id",15722
"132","Plantae","Athyriaceae","research",21877
"133","Plantae","Aulacomniaceae","needs_id",1005
"134","Plantae","Aulacomniaceae","research",934
"135","Plantae","Austrobaileyaceae","needs_id",1
"136","Plantae","Austrobaileyaceae","research",4
"137","Plantae","Balanopaceae","needs_id",3
"138","Plantae","Balanophoraceae","needs_id",498
"139","Plantae","Balanophoraceae","research",1173
"140","Plantae","Balantiopsaceae","needs_id",13
"141","Plantae","Balantiopsaceae","research",5
"142","Plantae","Balliaceae","needs_id",7
"143","Plantae","Balliaceae","research",5
"144","Plantae","Balsaminaceae","needs_id",12946
"145","Plantae","Balsaminaceae","research",91223
"146","Plantae","Bangiaceae","needs_id",1599
"147","Plantae","Bangiaceae","research",148
"148","Plantae","Barbeyaceae","research",1
"149","Plantae","Bartramiaceae","needs_id",1874
"150","Plantae","Bartramiaceae","research",1068
"151","Plantae","Basellaceae","needs_id",800
"152","Plantae","Basellaceae","research",2295
"153","Plantae","Bataceae","needs_id",946
"154","Plantae","Bataceae","research",1205
"155","Plantae","Batrachospermaceae","needs_id",99
"156","Plantae","Batrachospermaceae","research",3
"157","Plantae","Begoniaceae","needs_id",5408
"158","Plantae","Begoniaceae","research",5789
"159","Plantae","Berberidaceae","needs_id",25127
"160","Plantae","Berberidaceae","research",131745
"161","Plantae","Berberidopsidaceae","needs_id",4
"162","Plantae","Berberidopsidaceae","research",10
"163","Plantae","Betulaceae","needs_id",112839
"164","Plantae","Betulaceae","research",115573
"165","Plantae","Biebersteiniaceae","needs_id",4
"166","Plantae","Biebersteiniaceae","research",28
"167","Plantae","Bignoniaceae","needs_id",39230
"168","Plantae","Bignoniaceae","research",54529
"169","Plantae","Bixaceae","needs_id",1194
"170","Plantae","Bixaceae","research",2709
"171","Plantae","Blandfordiaceae","needs_id",109
"172","Plantae","Blandfordiaceae","research",324
"173","Plantae","Blasiaceae","needs_id",34
"174","Plantae","Blasiaceae","research",65
"175","Plantae","Blechnaceae","needs_id",5278
"176","Plantae","Blechnaceae","research",35627
"177","Plantae","Blepharostomataceae","research",2
"178","Plantae","Boldiaceae","needs_id",1
"179","Plantae","Bonnemaisoniaceae","needs_id",263
"180","Plantae","Bonnemaisoniaceae","research",192
"181","Plantae","Bonnetiaceae","needs_id",26
"182","Plantae","Bonnetiaceae","research",20
"183","Plantae","Boodleaceae","needs_id",10
"184","Plantae","Boodleaceae","research",4
"185","Plantae","Boraginaceae","needs_id",220046
"186","Plantae","Boraginaceae","research",293447
"187","Plantae","Boryaceae","needs_id",137
"188","Plantae","Boryaceae","research",22
"189","Plantae","Botryococcaceae","needs_id",1
"190","Plantae","Botryococcaceae","research",4
"191","Plantae","Brachytheciaceae","needs_id",15863
"192","Plantae","Brachytheciaceae","research",7098
"193","Plantae","Brassicaceae","needs_id",291847
"194","Plantae","Brassicaceae","research",403430
"195","Plantae","Bromeliaceae","needs_id",31338
"196","Plantae","Bromeliaceae","research",49821
"197","Plantae","Bruchiaceae","needs_id",31
"198","Plantae","Bruchiaceae","research",14
"199","Plantae","Brunelliaceae","needs_id",93
"200","Plantae","Brunelliaceae","research",21
"201","Plantae","Bruniaceae","needs_id",2417
"202","Plantae","Bruniaceae","research",3187
"203","Plantae","Bryaceae","needs_id",10234
"204","Plantae","Bryaceae","research",4985
"205","Plantae","Bryobartramiaceae","needs_id",1
"206","Plantae","Bryopsidaceae","needs_id",230
"207","Plantae","Bryopsidaceae","research",72
"208","Plantae","Bryoxiphiaceae","needs_id",10
"209","Plantae","Bryoxiphiaceae","research",57
"210","Plantae","Burmanniaceae","needs_id",217
