coreid,ac:accessURI,idigbio:dateModified,idigbio:dataQualityScore,idigbio:etag,idigbio:flags,dcterms:format,idigbio:hasSpecimen,ac:licenseLogoURL,idigbio:mediaType,dcterms:modified,idigbio:recordIds,idigbio:records,idigbio:recordsets,dcterms:rights,ac:tag,dc:type,idigbio:uuid,idigbio:version,xmpRights:WebStatement,exif:PixelXDimension,exif:PixelYDimension
6792edcf-37a1-4679-85be-99b8bb3b44cf,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000025689.jpg,2014-11-17T19:21:14.084000+00:00,-1.3636363636363635,4e142cf4bb4cd8ff676bbb29ce0e6f82cb346f9b,"[""dwc_basisofrecord_invalid"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_scientificnameauthorship_added"", ""dwc_specificepithet_added"", ""dwc_taxonomicstatus_added"", ""dwc_datasetid_added"", ""gbif_genericname_added"", ""gbif_vernacularname_added"", ""dwc_taxonid_added"", ""dwc_phylum_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_family_added"", ""dwc_class_added"", ""dwc_genus_added"", ""dwc_kingdom_added""]",,true,https://i.creativecommons.org/l/by-nc/4.0/88x31.png,,,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\media\\http://herbarium.bio.fsu.edu/showimage.php?image=images/herbarium/jpegs/000025689.jpg""]","[""6792edcf-37a1-4679-85be-99b8bb3b44cf""]",b2b294ed-1742-4479-b0c8-a8891fccd7eb,BY-NC,,,1e3dc1dc-555b-45a5-8871-22398113a99b,,http://creativecommons.org/licenses/by-nc/4.0/,,
d4d7fbf3-08e5-4a0e-8d21-480c64fd8fe7,http://www.morphbank.net?id=662773&imgType=jpeg,2014-09-18T15:09:23.608000+00:00,0.9090909090909091,baf5b77d6d63b28e75c99ba61ab715ddadc7bacb,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,2011-06-20T12:34:39+00:00,"[""http://www.morphbank.net/662773""]","[""d4d7fbf3-08e5-4a0e-8d21-480c64fd8fe7""]",92e4e092-6dcb-46bc-85a0-dea8310aba45,BY-NC-SA,plant body,stillimage,41dc797f-f295-41cd-8fe9-dbad2b4da5a6,,http://creativecommons.org/licenses/by-nc-sa/4.0/,3828,3168
f00049dc-5f00-4b2d-afb1-74fde664231c,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000025688.jpg,2014-11-17T18:56:58.070000+00:00,-1.3636363636363635,203bf6353d54e9cf876f620b604daffa918f6b22,"[""dwc_basisofrecord_invalid"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_scientificnameauthorship_added"", ""dwc_specificepithet_added"", ""dwc_taxonomicstatus_added"", ""dwc_datasetid_added"", ""gbif_genericname_added"", ""gbif_vernacularname_added"", ""dwc_taxonid_added"", ""dwc_phylum_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_family_added"", ""dwc_class_added"", ""dwc_genus_added"", ""dwc_kingdom_added""]",,true,https://i.creativecommons.org/l/by-nc/4.0/88x31.png,,,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\media\\http://herbarium.bio.fsu.edu/showimage.php?image=images/herbarium/jpegs/000025688.jpg""]","[""f00049dc-5f00-4b2d-afb1-74fde664231c""]",b2b294ed-1742-4479-b0c8-a8891fccd7eb,BY-NC,,,4686b427-e974-49ec-94b7-b47c00b691d1,,http://creativecommons.org/licenses/by-nc/4.0/,,
0438720e-d227-4418-955f-741a0d9b16ee,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00126286.JPG,2014-09-09T03:07:01.508000+00:00,0.45454545454545453,e98eee107790e97c9cb1e7007277195f241a18e6,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\media\\urn:catalog:uconn:conn:image:conn00126286""]","[""0438720e-d227-4418-955f-741a0d9b16ee""]",e70af26a-fb9e-43ab-96a0-d62a2df37e6d,BY-NC-SA,,,5f2b949f-75f4-4aff-867a-478e22704a60,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
55e1b658-b8c3-4fee-bfca-7ffac62bf4a4,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00126207.JPG,2014-09-09T01:29:56.417000+00:00,0.45454545454545453,18052b9f782bd3dd7cbf5b3d4c5ecd6776d1f906,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\media\\urn:catalog:uconn:conn:image:conn00126207""]","[""55e1b658-b8c3-4fee-bfca-7ffac62bf4a4""]",e70af26a-fb9e-43ab-96a0-d62a2df37e6d,BY-NC-SA,,,15acc946-5de3-4fa5-86b3-6d3a42770ce5,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
7be1afba-2850-43a4-918a-ddce91517d81,http://herbarium.bio.fsu.edu/showimage.php?Image=images2/ttrs/jpegs/TTRS_000001241.jpg,2014-11-17T20:36:26.551000+00:00,-1.5454545454545454,a1bee4a1e9121c1f92b36d1eee084723db95a8dd,"[""dwc_basisofrecord_invalid"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_scientificnameauthorship_added"", ""dwc_specificepithet_added"", ""dwc_taxonomicstatus_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""gbif_genericname_added"", ""gbif_vernacularname_added"", ""dwc_taxonid_added"", ""dwc_phylum_added"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_family_added"", ""dwc_class_added"", ""dwc_genus_added"", ""dwc_kingdom_added""]",,true,https://i.creativecommons.org/l/by-nc/4.0/88x31.png,,,"[""06c35934-1b75-4196-838d-29d509951bf9\\media\\http://herbarium.bio.fsu.edu/showimage.php?image=images2/ttrs/jpegs/ttrs_000001241.jpg""]","[""7be1afba-2850-43a4-918a-ddce91517d81""]",06c35934-1b75-4196-838d-29d509951bf9,BY-NC,,,6954a681-b4a2-493e-bb2b-11fd6b4de9f1,,http://creativecommons.org/licenses/by-nc/4.0/,,
fe1a254c-32d8-4b14-9607-e3d35bec069b,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00126196.JPG,2014-09-09T02:09:43.180000+00:00,0.45454545454545453,84e06afe19765c0167393c5fdb19989420cd4a8f,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\media\\urn:catalog:uconn:conn:image:conn00126196""]","[""fe1a254c-32d8-4b14-9607-e3d35bec069b""]",e70af26a-fb9e-43ab-96a0-d62a2df37e6d,BY-NC-SA,,,82ed6b5e-c2d0-48b9-a166-2b12cb72c196,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
479d320f-0b84-40f9-a12e-10067b9f2561,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000025649.jpg,2014-11-17T18:12:51.116000+00:00,-1.3636363636363635,6f6b70193858897c95cf2b3a82325a4c00ec7ffe,"[""dwc_basisofrecord_invalid"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_scientificnameauthorship_added"", ""dwc_specificepithet_added"", ""dwc_taxonomicstatus_added"", ""dwc_datasetid_added"", ""gbif_genericname_added"", ""gbif_vernacularname_added"", ""dwc_taxonid_added"", ""dwc_phylum_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_family_added"", ""dwc_class_added"", ""dwc_genus_added"", ""dwc_kingdom_added""]",,true,https://i.creativecommons.org/l/by-nc/4.0/88x31.png,,,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\media\\http://herbarium.bio.fsu.edu/showimage.php?image=images/herbarium/jpegs/000025649.jpg""]","[""479d320f-0b84-40f9-a12e-10067b9f2561""]",b2b294ed-1742-4479-b0c8-a8891fccd7eb,BY-NC,,,3588fbe6-13fd-42ef-b4d6-8854262b82e5,,http://creativecommons.org/licenses/by-nc/4.0/,,
6cfdca2a-2422-49f8-8a6c-19ac6588f44d,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00125976.JPG,2014-09-12T19:38:26+00:00,0.45454545454545453,2414c7178731d77565efb74c7dbaf67091cf634b,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\media\\urn:catalog:uconn:conn:image:conn00125976""]","[""6cfdca2a-2422-49f8-8a6c-19ac6588f44d""]",e70af26a-fb9e-43ab-96a0-d62a2df37e6d,BY-NC-SA,,,4d999e0f-d31f-4576-8c98-ea392fd7077b,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
3bbb88dd-3453-4e7f-88c4-0b0abc455c23,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00126339.JPG,2014-09-09T02:40:06.260000+00:00,0.45454545454545453,4117f2e44223e6ab81a5c83b89f9c7413a6f8d37,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\media\\urn:catalog:uconn:conn:image:conn00126339""]","[""3bbb88dd-3453-4e7f-88c4-0b0abc455c23""]",e70af26a-fb9e-43ab-96a0-d62a2df37e6d,BY-NC-SA,,,6f7d0edb-1081-4895-8b78-a5256d3e768c,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
