coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,dwc:datasetID,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
4a3dd306-8591-4af7-91ed-c4a6ca587ded,,,preservedspecimen,,,ttrs_000009427,,ttrs,,,robert k. godfrey,,,north america,,united states,usa,wakulla,,,2014-11-17T20:29:21.953000+00:00,0.2753623188405797,,,,,,7d1b06c8948560b0a623dcaf15df7856569e349a,,ulmaceae,,"[""dwc_continent_added"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]",,celtis,,"{""lat"": 30.1705652386, ""lon"": -84.4039437104}",,true,true,,,,,ttrs,http://biocol.org/urn:lsid:biocol.org:col:15829,,plantae,,,,,,,"swamp, floodplain of silver springs run, e of ocala",,,,"[""8da0e147-d1eb-4dc2-865d-676cdb72b0f5""]",,,,,urn:uuid:b5024d51-7a11-49ac-a051-d85310835f3a,,,"[""06c35934-1b75-4196-838d-29d509951bf9\\urn:uuid:b5024d51-7a11-49ac-a051-d85310835f3a""]",74692,06c35934-1b75-4196-838d-29d509951bf9,celtis laevigata,laevigata,,florida,,,,,4a3dd306-8591-4af7-91ed-c4a6ca587ded,,,,
6225cc18-0a27-4496-9e85-1446862b297a,,,preservedspecimen,,,20188,magnoliopsida,,,,alvin diamond,,,north america,,united states,usa,crenshaw,,,2014-09-18T14:59:58.521000+00:00,0.2898550724637681,,,,,,369aad3e1eacaa27edd223233e9a1e27cac9592b,,ulmaceae,,"[""geopoint_datum_missing"", ""dwc_continent_added"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]",,celtis,,"{""lat"": 31.8744444, ""lon"": -86.2086111}",,true,true,plantae magnoliopsida magnoliophyta ulmaceae urticales hamamelidae tracheobionta celtis laevigata celtis,,,,troy,,,plantae,,,,,,,"crenshaw co hwy 61, .5 mile nof crenshaw co hwy 59",,,,"[""3b3fb9c3-045c-4a89-ae22-fe0a98dc1e14""]",,,,,urn:uuid:ef86fb8a-f816-4aef-98ac-875bf301e056,urticales,magnoliophyta,"[""http://www.morphbank.net/677859""]",16673,92e4e092-6dcb-46bc-85a0-dea8310aba45,celtis laevigata,,,alabama,,,species,,6225cc18-0a27-4496-9e85-1446862b297a,,,,
4370ae7e-d3f1-41a9-8eb6-032650ab9e27,,,preservedspecimen,,ulmus rubra,17719,magnoliopsida,,,,alvin diamond,,,north america,,united states,usa,russell,7ddf754f-d193-4cc9-b351-99906754a03b,,2014-09-18T14:55:16.679000+00:00,0.15942028985507245,,,,,,67463307f8838ef0693e8edbc7fb21e62b963179,,ulmaceae,,"[""geopoint_datum_missing"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_specificepithet_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_order_replaced""]",,ulmus,,"{""lat"": 32.3913889, ""lon"": -85.3722222}",,true,true,plantae magnoliopsida magnoliophyta ulmaceae urticales hamamelidae tracheobionta ulmus rubra ulmus,,,,troy,,,plantae,,,,,,,al hwy 51 just s of a small un-named stream.,,,,"[""c30dd61d-8b4a-4586-85a0-d25dad825adc""]",,,,,urn:uuid:facb13da-6428-48a4-a332-b951cec787b7,rosales,tracheophyta,"[""http://www.morphbank.net/675246""]",15008,92e4e092-6dcb-46bc-85a0-dea8310aba45,ulmus rubra,rubra,,alabama,5361867,accepted,species,,4370ae7e-d3f1-41a9-8eb6-032650ab9e27,,,,
713eeb44-0635-48c6-9697-e67669399259,,,preservedspecimen,,ulmus alata,ttrs_000009456,magnoliopsida,ttrs,,,robert k. godfrey,,,north america,,united states,usa,gadsden,7ddf754f-d193-4cc9-b351-99906754a03b,,2014-11-17T20:21:10.815000+00:00,0.18840579710144928,,,,,,0215a2389203bad7e062f57de6da94aedd2cd72d,,ulmaceae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added""]",,ulmus,,"{""lat"": 30.5797452854, ""lon"": -84.6135341599}",,true,true,,,,,ttrs,http://biocol.org/urn:lsid:biocol.org:col:15829,,plantae,,,,,,,"small tree, its branches beside the railing of abandoned old bridge over the apalachicola river floodplain, chattahoochee",,,,"[""df8e8b28-2117-4c2f-8364-6029f9e2d2ac""]",,,,,urn:uuid:e9e82a5c-53cf-491d-bf76-a8d6b0e6bded,rosales,tracheophyta,"[""06c35934-1b75-4196-838d-29d509951bf9\\urn:uuid:e9e82a5c-53cf-491d-bf76-a8d6b0e6bded""]",80270,06c35934-1b75-4196-838d-29d509951bf9,ulmus alata,alata,,florida,5361878,accepted,species,,713eeb44-0635-48c6-9697-e67669399259,,,,
58463687-02cb-410a-a94c-e57d69e4723f,,,preservedspecimen,,ulmus americana,000064771,magnoliopsida,fsu,,,loran c. anderson,,,north america,,united states,usa,wakulla,7ddf754f-d193-4cc9-b351-99906754a03b,2009-05-15T00:00:00+00:00,2014-11-17T19:52:18.535000+00:00,0.21739130434782608,,,,,,25b53a2d19d6350a39477c3cf9eaa3ba6ab5ee44,2009-05-15,ulmaceae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_taxonremarks_added"", ""dwc_class_added""]",,ulmus,,"{""lat"": 30.1705652386, ""lon"": -84.4039437104}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,"st. marks nat'l [national] wildlife refuge (st. marks unit). at east river bridge on rte 59, se of visitors center.",,,,"[""f3530c50-159b-4723-897e-13e930b6fa8d""]",,,,,urn:uuid:687fa662-71f3-4bc9-8118-b3497104ff3e,rosales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:687fa662-71f3-4bc9-8118-b3497104ff3e""]",24498,b2b294ed-1742-4479-b0c8-a8891fccd7eb,ulmus americana,americana,135,florida,5361872,accepted,species,,58463687-02cb-410a-a94c-e57d69e4723f,,,,
60c02e78-5948-43f9-9091-eddb243b9b70,,,preservedspecimen,,,ttrs_000009442,,ttrs,,,robert k. godfrey,,,north america,,united states,usa,marion,,,2014-11-17T20:39:14.753000+00:00,0.2753623188405797,,,,,,94e446a259edda334ad4d614b9dc07108b06a25e,,ulmaceae,,"[""dwc_continent_added"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]",,celtis,,"{""lat"": 32.3533314725, ""lon"": -84.5248770703}",,true,true,,,,,ttrs,http://biocol.org/urn:lsid:biocol.org:col:15829,,plantae,,,,,,,"small scrubby tree; old field, sterile sandy soil, upland, by ga rt 41 between preston and buena vista",,,,"[""bd2fd617-b6be-44b5-9536-8783074ac605""]",,,,,urn:uuid:ec6a7958-1d48-4a44-95eb-74ecdae16880,,,"[""06c35934-1b75-4196-838d-29d509951bf9\\urn:uuid:ec6a7958-1d48-4a44-95eb-74ecdae16880""]",78124,06c35934-1b75-4196-838d-29d509951bf9,celtis tenuifolia,tenuifolia,,georgia,,,,,60c02e78-5948-43f9-9091-eddb243b9b70,,,,
8b6e5eb0-040b-415d-9fdb-e53e2236b300,,,preservedspecimen,,,vsc0064237,magnoliopsida,herb,,,"richard carter, w. w. baker",sugarberry,"[""sugarberry""]",north america,,united states,usa,sumter,,2013-05-08T00:00:00+00:00,2015-03-10T18:01:50.059000+00:00,0.36231884057971014,,,,,,2dbed45e1599518c175bf96f4215b0eb27e87b72,2013-05-08,ulmaceae,,"[""geopoint_datum_missing"", ""dwc_country_replaced"", ""dwc_continent_replaced"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]",,celtis,,"{""lat"": 32.058198, ""lon"": -84.227232}",,true,true,,,,,vsc,urn:lsid:biocol.org:col:15754,,plantae,,,,,,,"americus, jct. s. lee st. and burke st., lee street methodist church parking lot",,,,"[""132262dc-d981-4530-9e9f-2f32c6c18c7a""]",,,,,urn:uuid:19931841-333e-49fa-947f-b7687c95b04f,urticales,magnoliophyta,"[""76fd34da-4892-4821-858d-98fe9e28ba8b\\urn:uuid:19931841-333e-49fa-947f-b7687c95b04f""]",,76fd34da-4892-4821-858d-98fe9e28ba8b,celtis laevigata,laevigata,128,georgia,17116,,species,,8b6e5eb0-040b-415d-9fdb-e53e2236b300,,,,
88294fa2-74af-488c-9d63-a12fe77e4be7,,,preservedspecimen,,ulmus alata,000082795,magnoliopsida,fsu,,,loran c. anderson,,,north america,,united states,usa,calhoun,7ddf754f-d193-4cc9-b351-99906754a03b,2012-11-05T00:00:00+00:00,2014-11-17T19:16:43.457000+00:00,0.21739130434782608,,,,,,d7f972ba46cedbdf12b58a6ac1be3d6510f6d72b,2012-11-05,ulmaceae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added""]",,ulmus,,"{""lat"": 30.51963, ""lon"": -84.99448}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,"by landing at apalachicola river (terminus of john redd rd), ca. 6 air mi ne of blountstown.",,,,"[""5ced3fa7-3712-43fc-9df9-47c12baa5801""]",,,,,urn:uuid:ed1489df-c803-484c-a001-6391787ec8c7,rosales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:ed1489df-c803-484c-a001-6391787ec8c7""]",26788,b2b294ed-1742-4479-b0c8-a8891fccd7eb,ulmus alata,alata,310,florida,5361878,accepted,species,,88294fa2-74af-488c-9d63-a12fe77e4be7,,,,
87bd2715-32a3-4e83-a359-c4360c2bbe11,,,preservedspecimen,,ulmus alata,000082316,magnoliopsida,fsu,,,loran c. anderson,,,north america,,united states,usa,gadsden,7ddf754f-d193-4cc9-b351-99906754a03b,2006-05-23T00:00:00+00:00,2014-11-17T18:09:16.938000+00:00,0.21739130434782608,,,,,,f4614c24ec26440d18229a7dd928e63784705cbb,2006-05-23,ulmaceae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added""]",,ulmus,,"{""lat"": 30.67821, ""lon"": -84.85477}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,"at edge of brickyard glade, s of rr tracks, just sw of chattahoochee.",,,,"[""d4cc5df3-8e31-4868-b1c7-4f710613d147""]",,,,,urn:uuid:2b5f585f-45b3-4790-ae84-02c6c4c51582,rosales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:2b5f585f-45b3-4790-ae84-02c6c4c51582""]",21867,b2b294ed-1742-4479-b0c8-a8891fccd7eb,ulmus alata,alata,143,florida,5361878,accepted,species,,87bd2715-32a3-4e83-a359-c4360c2bbe11,,,,
531756d2-b97c-41c9-a07c-af72ba2fe1fa,,,preservedspecimen,,ulmus rubra,23810,magnoliopsida,,,,a.r. diamond,,,north america,,united states,usa,butler,7ddf754f-d193-4cc9-b351-99906754a03b,,2014-09-18T14:54:35.801000+00:00,0.15942028985507245,,,,,,039c1aa488b5c3b319c78c165a2202192e27e6f4,,ulmaceae,,"[""geopoint_datum_missing"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_specificepithet_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_order_replaced""]",,ulmus,,"{""lat"": 31.9094444, ""lon"": -86.6858333}",,true,true,plantae magnoliopsida magnoliophyta ulmaceae urticales hamamelidae tracheobionta ulmus rubra ulmus,,,,troy,,,plantae,,,,,,,"alabama hwy. 263, 3.6 miles south of the lowndes county line.",,,,"[""13fffd5f-1f6c-4e55-8a6e-9218ce8a2f4d""]",,,,,urn:uuid:2df151ba-064e-4ccb-bed3-33aa70fb2862,rosales,tracheophyta,"[""http://www.morphbank.net/683358""]",17416,92e4e092-6dcb-46bc-85a0-dea8310aba45,ulmus rubra,rubra,,alabama,5361867,accepted,species,,531756d2-b97c-41c9-a07c-af72ba2fe1fa,,,,
