coreid,ac:accessURI,idigbio:dateModified,idigbio:dataQualityScore,idigbio:etag,idigbio:flags,dcterms:format,idigbio:hasSpecimen,ac:licenseLogoURL,idigbio:mediaType,dcterms:modified,idigbio:recordIds,idigbio:records,idigbio:recordsets,dcterms:rights,ac:tag,dc:type,idigbio:uuid,idigbio:version,xmpRights:WebStatement,exif:PixelXDimension,exif:PixelYDimension
fd59fef4-f8d7-461f-9e00-ef35fecf42dc,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000061783.jpg,2014-11-17T19:32:15.737000+00:00,-1.4545454545454546,cfa7d1c5f50bbcaa3754d05334721cea5cb53aa6,"[""dwc_basisofrecord_invalid"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_scientificnameauthorship_added"", ""dwc_specificepithet_added"", ""dwc_taxonomicstatus_added"", ""dwc_datasetid_added"", ""gbif_genericname_added"", ""gbif_vernacularname_added"", ""dwc_taxonid_added"", ""dwc_phylum_added"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_family_added"", ""dwc_class_added"", ""dwc_genus_added"", ""dwc_kingdom_added""]",,true,https://i.creativecommons.org/l/by-nc/4.0/88x31.png,,,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\media\\http://herbarium.bio.fsu.edu/showimage.php?image=images/herbarium/jpegs/000061783.jpg""]","[""fd59fef4-f8d7-461f-9e00-ef35fecf42dc""]",b2b294ed-1742-4479-b0c8-a8891fccd7eb,BY-NC,,,1c9ca722-fc88-4e70-99fb-46c8bfc5b951,,http://creativecommons.org/licenses/by-nc/4.0/,,
4e0dda82-57cb-40d6-895b-60798c8f4c6d,http://www.morphbank.net?id=680975&imgType=jpeg,2014-09-18T15:03:46.510000+00:00,0.9090909090909091,1e709c43ba1c9fa66f44263c709570887e5771c8,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,2011-06-20T12:34:39+00:00,"[""http://www.morphbank.net/680975""]","[""4e0dda82-57cb-40d6-895b-60798c8f4c6d""]",92e4e092-6dcb-46bc-85a0-dea8310aba45,BY-NC-SA,plant body,stillimage,3d42b2a9-a05e-4823-93a7-6ec6400f6e8a,,http://creativecommons.org/licenses/by-nc-sa/4.0/,3848,3185
df33e293-f73b-423c-a180-5c8d4339c7b7,http://herb.valdosta.edu/images/herbarium/VSC0064216.jpg,2015-03-10T17:42:59.839000+00:00,0.45454545454545453,a6f24333f8a42dae2a9e3dbd495a1248e17faeb3,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by/4.0/88x31.png,images,,"[""76fd34da-4892-4821-858d-98fe9e28ba8b\\media\\http://herb.valdosta.edu/images/herbarium/vsc0064216.jpg""]","[""df33e293-f73b-423c-a180-5c8d4339c7b7""]",76fd34da-4892-4821-858d-98fe9e28ba8b,BY,,,1bda81cf-b3d1-4d92-beb2-561fa24cee70,,http://creativecommons.org/licenses/by/4.0/,,
82cdc1db-9b25-41fd-8d7c-989dc676bc62,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00178722.JPG,2014-09-09T02:24:48.196000+00:00,0.45454545454545453,378202d0559299ce3f0007653d7032695d55f08c,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\media\\urn:catalog:uconn:conn:image:conn00178722""]","[""82cdc1db-9b25-41fd-8d7c-989dc676bc62""]",e70af26a-fb9e-43ab-96a0-d62a2df37e6d,BY-NC-SA,,,bc3858b5-1573-4d01-9d2c-a7a86709eb54,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
4a470b19-25a2-4ff9-a0a7-d97f9dfb553a,http://herbarium.bio.fsu.edu/showimage.php?Image=images2/ttrs/jpegs/TTRS_000009463.jpg,2014-11-17T20:31:14.151000+00:00,-1.5454545454545454,f228cc8082b161e4b78f75a9d9b5623ff9b565b2,"[""dwc_basisofrecord_invalid"", ""dwc_taxonrank_added"", ""dwc_phylum_added"", ""dwc_scientificnameauthorship_added"", ""dwc_specificepithet_added"", ""dwc_datasetid_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""gbif_vernacularname_added"", ""dwc_taxonid_added"", ""gbif_reference_added"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_taxonremarks_added"", ""dwc_family_added"", ""dwc_class_added"", ""dwc_genus_added"", ""dwc_kingdom_added""]",,true,https://i.creativecommons.org/l/by-nc/4.0/88x31.png,,,"[""06c35934-1b75-4196-838d-29d509951bf9\\media\\http://herbarium.bio.fsu.edu/showimage.php?image=images2/ttrs/jpegs/ttrs_000009463.jpg""]","[""4a470b19-25a2-4ff9-a0a7-d97f9dfb553a""]",06c35934-1b75-4196-838d-29d509951bf9,BY-NC,,,c16ecd72-0e74-4618-b322-17d613403efa,,http://creativecommons.org/licenses/by-nc/4.0/,,
6bb4408c-4abb-4f5d-8471-0c01fabedec4,http://www.tropicos.org/ImageDownload.aspx?imageid=100123345,2016-01-26T12:52:44.194597+00:00,0.45454545454545453,3b2efd601ce8237f246eff0f0b0bc54dcb11e6a9,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/l/by-nc-sa/3.0/88x31.png,images,,"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\media\\http://www.tropicos.org/imagedownload.aspx?imageid=100123345""]","[""6bb4408c-4abb-4f5d-8471-0c01fabedec4""]",5386d272-06c6-4027-b5d5-d588c2afe5e5,BY-NC-SA,,,ea4d0727-2d20-420a-beb8-396513ffd85e,,http://creativecommons.org/licenses/by-nc-sa/3.0/,,
793d2b2e-9b8a-4b64-b76b-f3357d10b4b3,http://herb.valdosta.edu/images/herbarium/VSC0066273.jpg,2015-03-10T18:57:48.738000+00:00,0.45454545454545453,77d75651e616ceb0c509ea6c0c3f0472697f0c57,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by/4.0/88x31.png,images,,"[""76fd34da-4892-4821-858d-98fe9e28ba8b\\media\\http://herb.valdosta.edu/images/herbarium/vsc0066273.jpg""]","[""793d2b2e-9b8a-4b64-b76b-f3357d10b4b3""]",76fd34da-4892-4821-858d-98fe9e28ba8b,BY,,,e9832967-b28d-4303-8128-e2e192188497,,http://creativecommons.org/licenses/by/4.0/,,
447aab1d-a485-4ebc-b386-50a08ce3ccd3,http://herb.valdosta.edu/images/herbarium/VSC0066836.jpg,2015-03-10T19:15:20.912000+00:00,0.45454545454545453,9fdc98abce03266f003f974fd4f269a621f4679d,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by/4.0/88x31.png,images,,"[""76fd34da-4892-4821-858d-98fe9e28ba8b\\media\\http://herb.valdosta.edu/images/herbarium/vsc0066836.jpg""]","[""447aab1d-a485-4ebc-b386-50a08ce3ccd3""]",76fd34da-4892-4821-858d-98fe9e28ba8b,BY,,,43467df0-4318-4286-9294-9e323c2b70d6,,http://creativecommons.org/licenses/by/4.0/,,
5d2e6bc6-afb4-4507-abbe-3b59c0684700,http://herb.valdosta.edu/images/herbarium/VSC0064296.jpg,2015-03-10T19:39:42.140000+00:00,0.45454545454545453,82603b7c04e209e5ceb460605a210742baa5db3b,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by/4.0/88x31.png,images,,"[""76fd34da-4892-4821-858d-98fe9e28ba8b\\media\\http://herb.valdosta.edu/images/herbarium/vsc0064296.jpg""]","[""5d2e6bc6-afb4-4507-abbe-3b59c0684700""]",76fd34da-4892-4821-858d-98fe9e28ba8b,BY,,,44d53479-f336-43ff-9155-e4013084c075,,http://creativecommons.org/licenses/by/4.0/,,
9cdf9274-e3d0-4439-bd0d-823310de4862,http://www.morphbank.net?id=674471&imgType=jpeg,2014-09-18T14:54:55.029000+00:00,0.9090909090909091,04f8597df9a99411c5dfcc23d8a87a6ed9793b32,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,2011-06-20T12:34:39+00:00,"[""http://www.morphbank.net/674471""]","[""9cdf9274-e3d0-4439-bd0d-823310de4862""]",92e4e092-6dcb-46bc-85a0-dea8310aba45,BY-NC-SA,plant body,stillimage,c03476ff-50d3-497e-a6db-a5bb9db5472e,,http://creativecommons.org/licenses/by-nc-sa/4.0/,3874,3185
