id,observed_on,quality_grade,url,image_url,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
46651,1990-09-28,research,http://www.inaturalist.org/observations/46651,https://inaturalist-open-data.s3.amazonaws.com/photos/74997/medium.jpg,false,,"point of rocks, Chesterfield, va",37.3175129415,-77.3540496826,,,,,false,,,bottle gentian,Gentiana clausa,bottle gentian,Plantae,120579
59690,2010-10-23,research,http://www.inaturalist.org/observations/59690,https://static.inaturalist.org/photos/92620/medium.jpg,false,,balm boyette,27.7902025,-82.2447839,3242,3242,,,false,,,Shortleaf Rose Gentian,Sabatia brevifolia,Shortleaf Rose Gentian,Plantae,126298
98939,2012-06-14,research,http://www.inaturalist.org/observations/98939,https://static.inaturalist.org/photos/143482/medium.jpg,false,,Fort De Soto,27.6155886,-82.7362115,1922,1922,,,false,,,catchfly prairie gentian,Eustoma exaltatum,catchfly prairie gentian,Plantae,77125
100764,2012-07-10,research,http://www.inaturalist.org/observations/100764,https://static.inaturalist.org/photos/145893/medium.JPG,false,,"Heron Pond Preserve, IL",37.3618501,-88.9270182,4354,4354,,,false,,,Rosepink,Sabatia angularis,Rosepink,Plantae,84666
123230,2012-09-07,research,http://www.inaturalist.org/observations/123230,https://static.inaturalist.org/photos/175468/medium.jpg,false,,lake manatee,27.494658,-82.3479016,4690,4690,,,false,,,Shortleaf Rose Gentian,Sabatia brevifolia,Shortleaf Rose Gentian,Plantae,126298
195142,2012-07-15,research,http://www.inaturalist.org/observations/195142,https://inaturalist-open-data.s3.amazonaws.com/photos/249106/medium.jpg,false,,Johnston Mill Nature Preserve,35.9864408053,-79.0581951862,,,,,false,,"",Rosepink,Sabatia angularis,Rosepink,Plantae,84666
217686,2013-03-16,research,http://www.inaturalist.org/observations/217686,https://static.inaturalist.org/photos/274410/medium.jpg,false,,"Duke Forest, Gate C Shepherd Nature Trail",36.014541229,-78.973492384,,,,,false,,,pennywort,Obolaria virginica,pennywort,Plantae,126800
234659,2013-03-29,research,http://www.inaturalist.org/observations/234659,https://static.inaturalist.org/photos/294750/medium.jpg,false,,Old Stone Fort State Park,35.479906,-86.110616,,,,,false,,,pennywort,Obolaria virginica,pennywort,Plantae,126800
235805,2013-04-13,research,http://www.inaturalist.org/observations/235805,https://inaturalist-open-data.s3.amazonaws.com/photos/295926/medium.jpg,false,2,"Orange County, US-NC, US",36.06196407,-79.14701956,10,10,,,false,gps,gps,pennywort,Obolaria virginica,pennywort,Plantae,126800
273102,2013-05-18,research,http://www.inaturalist.org/observations/273102,https://static.inaturalist.org/photos/337655/medium.jpg,false,,"Terre Noir Natural Area, Clark County, Arkansas, United States",34.075034,-93.175622,,,,,false,,"",Frasera caroliniensis,Frasera caroliniensis,American columbo,Plantae,118741
