coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,dwc:datasetID,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
49694f80-b593-4bf2-b51a-44f5998862a2,,,preservedspecimen,,sabatia bartramii,ttrs_000006918,magnoliopsida,ttrs,,,r. a. norris,,,north america,,united states,usa,camden,7ddf754f-d193-4cc9-b351-99906754a03b,,2014-11-17T20:29:21.047000+00:00,0.2028985507246377,,,,,,480ba2646372d7580620298e452adec232666688,,gentianaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added"", ""taxon_match_failed""]",,sabatia,,"{""lat"": 30.9388254033, ""lon"": -81.6979716774}",,true,true,,,,,ttrs,http://biocol.org/urn:lsid:biocol.org:col:15829,,plantae,,,,,,,"about 2 mi. n of highway 40 and state highway spur 40, camden co., ga. pine flatwoods nearby.",,,,"[""f133c21e-c319-4daf-87d6-593bca6fd43e""]",,,,,urn:uuid:ab0d1113-23e4-4f49-a758-96330c870768,gentianales,tracheophyta,"[""06c35934-1b75-4196-838d-29d509951bf9\\urn:uuid:ab0d1113-23e4-4f49-a758-96330c870768""]",1225,06c35934-1b75-4196-838d-29d509951bf9,sabatia bartramii,bartramii,,georgia,5414532,accepted,species,,49694f80-b593-4bf2-b51a-44f5998862a2,,,,
84ebb3c4-19ed-4631-b4e5-01648a83bae9,,,preservedspecimen,,sabatia campanulata,000092369,magnoliopsida,fsu,,,r.k.  godfrey,,,north america,,united states,usa,franklin,7ddf754f-d193-4cc9-b351-99906754a03b,1972-06-18T00:00:00+00:00,2014-11-17T20:01:37.779000+00:00,0.21739130434782608,,,,,,febf5f0891f4c02a5c7b302065ee046bb5938ca2,1972-06-18,gentianaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added"", ""taxon_match_failed""]",,sabatia,,"{""lat"": 29.8901467164, ""lon"": -84.7996653584}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,e end of dog island,,,,"[""99e32c02-89e5-4c10-9aa8-25a9c57fa759""]",,,,,urn:uuid:586921fe-88d1-42c1-bcd1-35e8d72ef8ae,gentianales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:586921fe-88d1-42c1-bcd1-35e8d72ef8ae""]",71382,b2b294ed-1742-4479-b0c8-a8891fccd7eb,sabatia campanulata,campanulata,170,florida,8260701,accepted,species,,84ebb3c4-19ed-4631-b4e5-01648a83bae9,,,,
a1240b3f-6921-489a-adc5-341fd111dea6,,,preservedspecimen,,sabatia bartramii,11018,magnoliopsida,,,,brian r. keener,,,north america,,united states,usa,baldwin,7ddf754f-d193-4cc9-b351-99906754a03b,,2014-09-18T14:52:18.627000+00:00,0.2028985507246377,,,,,,3a92a9de55559d9423fbe57f4f384403f86f8ab9,,gentianaceae,,"[""geopoint_datum_missing"", ""gbif_reference_added"", ""dwc_specificepithet_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_continent_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""taxon_match_failed""]",,sabatia,,"{""lat"": 30.4736111, ""lon"": -87.445}",,true,true,plantae magnoliopsida magnoliophyta gentianaceae gentianales asteridae tracheobionta sabatia bartramii sabatia,,,,troy,,,plantae,,,,,,,3.5 air mi. se of seminole. off of recently cut road out headed e toward alligator bayou.,,,,"[""fa1ebd01-3e74-4604-982c-0d8166a19058""]",,,,,urn:uuid:4dfb9757-ea60-40be-a05c-42002a07e361,gentianales,tracheophyta,"[""http://www.morphbank.net/668582""]",2376,92e4e092-6dcb-46bc-85a0-dea8310aba45,sabatia bartramii,bartramii,,alabama,5414532,accepted,species,,a1240b3f-6921-489a-adc5-341fd111dea6,,,,
55853791-8d2a-4f9b-8371-d1ca87a2b07e,,,preservedspecimen,,sabatia campanulata,vsc0065632,magnoliopsida,herb,,,"richard carter, w. w. baker",slender rose gentian,"[""slender rose gentian""]",north america,,united states,usa,charlton,7ddf754f-d193-4cc9-b351-99906754a03b,2006-07-20T00:00:00+00:00,2015-03-10T18:52:38.085000+00:00,0.2318840579710145,,,,,,46cd207bc406c27a2363cfd27f42b57cb2d0357a,2006-07-20,gentianaceae,,"[""geopoint_datum_missing"", ""dwc_country_replaced"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_datasetid_added"", ""dwc_continent_replaced"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_phylum_replaced"", ""gbif_canonicalname_added"", ""dwc_originalnameusageid_added"", ""taxon_match_failed""]",,sabatia,,"{""lat"": 30.8364, ""lon"": -81.9307667}",,true,true,,,,,vsc,urn:lsid:biocol.org:col:15754,,plantae,,,,,,,ca. 1.7 airmiles wnw colerain lodge,,,,"[""3374e9aa-87d8-4cb1-8cc9-e9da0c26f5a0""]",,,,,urn:uuid:4aee45f8-3673-409c-a29b-56b7cf7ed0c5,gentianales,tracheophyta,"[""76fd34da-4892-4821-858d-98fe9e28ba8b\\urn:uuid:4aee45f8-3673-409c-a29b-56b7cf7ed0c5""]",,76fd34da-4892-4821-858d-98fe9e28ba8b,sabatia campanulata,campanulata,201,georgia,8260701,accepted,species,,55853791-8d2a-4f9b-8371-d1ca87a2b07e,,,,
79991d21-ef38-41b4-8aa5-b1197edd2d94,,,preservedspecimen,,sabatia stellaris,ttrs_000006962,magnoliopsida,ttrs,,,julie  neel,,,north america,,united states,usa,franklin,7ddf754f-d193-4cc9-b351-99906754a03b,,2014-11-17T20:32:05.390000+00:00,0.18840579710144928,,,,,,5c8cd1b207a78efb0cd73af420ee177a1bb47e28,,gentianaceae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added"", ""taxon_match_failed""]",,sabatia,,"{""lat"": 29.8901467164, ""lon"": -84.7996653584}",,true,true,,,,,ttrs,http://biocol.org/urn:lsid:biocol.org:col:15829,,plantae,,,,,,,"alligator point rd, franklin co., fla (roadside)",,,,"[""51213b31-5b2b-4919-827d-0fe60f943e44""]",,,,,urn:uuid:89fde4bf-b95c-41d6-a8d1-4efa433237df,gentianales,tracheophyta,"[""06c35934-1b75-4196-838d-29d509951bf9\\urn:uuid:89fde4bf-b95c-41d6-a8d1-4efa433237df""]",21,06c35934-1b75-4196-838d-29d509951bf9,sabatia stellaris,stellaris,,florida,5414524,accepted,species,,79991d21-ef38-41b4-8aa5-b1197edd2d94,,,,
79c55003-31dc-451e-a833-7465967e2cfd,,,preservedspecimen,,,conn00121766,,conn,,,a.h. curtiss,,,north america,5000.0,united states,usa,holmes,116024,1899-07-17T00:00:00+00:00,2014-09-09T03:31:12.359000+00:00,0.36231884057971014,,,,,,e682c843798532f31221237e0de589907f937cf6,1899-07-17,gentianaceae,,"[""geopoint_datum_missing"", ""dwc_continent_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]",,sabatia,,"{""lat"": 30.79194, ""lon"": -85.67972}",,true,true,plantae; dicotyledonae; gentianales; gentianaceae,,,,uconn,,,dicotyledonae,,,,,,,bonifay,,,,"[""7e5e93f5-2ade-4633-acfd-393bf9167265""]",,,,bonifay,urn:catalog:uconn:conn:conn00121766,gentianales,,"[""e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\urn:catalog:uconn:conn:conn00121766""]",6481,e70af26a-fb9e-43ab-96a0-d62a2df37e6d,sabatia campanulata (l.) torr.,gracilis,198,florida,,,,,79c55003-31dc-451e-a833-7465967e2cfd,17 jul 1899,,,
353b587b-d626-40aa-8f09-7450d04e0dba,,,preservedspecimen,,sabatia stellaris,conn00117574,magnoliopsida,conn,,,john b. nelson,,,north america,5000.0,united states,usa,georgetown county,7ddf754f-d193-4cc9-b351-99906754a03b,1993-07-28T00:00:00+00:00,2014-09-12T19:57:11.607000+00:00,0.21739130434782608,,,,,,ef94e553a74aec39f06a3c9b518627e65d9be36a,1993-07-28,gentianaceae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_kingdom_replaced"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonomicstatus_added"", ""dwc_continent_added"", ""dwc_country_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""dwc_class_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_multimedia_added"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,sabatia,,"{""lat"": 33.195, ""lon"": -79.21027}",,true,true,plantae; dicotyledonae; gentianales; gentianaceae,,,,uconn,,,plantae,,,,,,,e side of beach road near its terminus on lower part of south island,,,,"[""e7fa9046-ce32-4244-b00a-4411e258fabe""]",,,,,urn:catalog:uconn:conn:conn00117574,gentianales,tracheophyta,"[""e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\urn:catalog:uconn:conn:conn00117574""]","""14,548""",e70af26a-fb9e-43ab-96a0-d62a2df37e6d,sabatia stellaris pursh,stellaris,209,south carolina,5414524,accepted,species,,353b587b-d626-40aa-8f09-7450d04e0dba,28-jul-93,,,
8311611a-e566-4368-8b17-c81d77fbaf4a,,,preservedspecimen,,,ttrs_000006892,,ttrs,,,raymond  athey,,,north america,,united states,usa,bay,,,2014-11-17T20:17:11.013000+00:00,0.2608695652173913,,,,,,bfd6d1c128fc15624a84aa486ab0ef938f5c11eb,,gentianaceae,,"[""dwc_continent_added"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]",,bartonia,,"{""lat"": 30.3051535579, ""lon"": -85.6255312669}",,true,true,,,,,ttrs,http://biocol.org/urn:lsid:biocol.org:col:15829,,plantae,,,,,,,parker.  wet pinelands behind sand dunes at yacht club on tyhdall air force base.,,,,"[""b2cb1e89-a3c2-4517-9d8e-24d28d0b309a""]",,,,,urn:uuid:15e0b88a-7217-45fb-9e13-525d5309866e,,,"[""06c35934-1b75-4196-838d-29d509951bf9\\urn:uuid:15e0b88a-7217-45fb-9e13-525d5309866e""]",,06c35934-1b75-4196-838d-29d509951bf9,bartonia verna,verna,,florida,,,,,8311611a-e566-4368-8b17-c81d77fbaf4a,,,,
01cb01cb-4c1c-4c23-b288-fdbcd7df7f45,,,preservedspecimen,,,160927,,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,e. l. braun,,,north america,,united states,usa,laurel co.,,1934-09-05T00:00:00+00:00,2021-08-21T02:58:27.774336+00:00,0.4057971014492754,,,,,,8eea32107feda93e570e713e2bf29af7c9dfacd2,1934-09-05,gentianaceae,,"[""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]",,bartonia,,"{""lat"": 37.128838, ""lon"": -83.901383}",,true,true,,,,paniculata,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,plantae,,,,,,,10 miles east of london.,,,,"[""b6e102be-8a8c-455a-a81d-6a22dc83df8a""]",,,,,60811699-50d9-4603-8646-a37c518f91ad,gentianales,magnoliophyta,"[""36d35b23-113e-4633-90ec-19d265a3b5f6\\60811699-50d9-4603-8646-a37c518f91ad""]",s.n.,36d35b23-113e-4633-90ec-19d265a3b5f6,bartonia paniculata (michx.) muhl. subsp. paniculata,paniculata,248,kentucky,,,subspecies,,01cb01cb-4c1c-4c23-b288-fdbcd7df7f45,05 sep 1934,,,
e138d887-60d9-4499-9ddf-02284b1f11bf,,,preservedspecimen,,,01527604,,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,d. e. atha,,,north america,,united states,usa,lyon co.,,2011-07-12T00:00:00+00:00,2021-08-21T02:58:27.774336+00:00,0.37681159420289856,,,,,,edc05843acf57c392afa318b6f54709fe8b22673,2011-07-12,gentianaceae,,"[""geopoint_datum_missing"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]",,sabatia,,"{""lat"": 37.078419, ""lon"": -88.119267}",,true,true,,,,,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,plantae,,,,,,,2.4 air km nne of kuttawa,,,,"[""65d0c60c-1f45-4ad4-a62c-7a89127b695d""]",,,,,8c2e2380-f47f-42b4-bd4c-970b5e20374f,gentianales,magnoliophyta,"[""36d35b23-113e-4633-90ec-19d265a3b5f6\\8c2e2380-f47f-42b4-bd4c-970b5e20374f""]",10904,36d35b23-113e-4633-90ec-19d265a3b5f6,sabatia angularis (l.) pursh,angularis,193,kentucky,,,species,,e138d887-60d9-4499-9ddf-02284b1f11bf,12 jul 2011,,,
