coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,dwc:datasetID,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
a15a40f1-9917-4ddd-81b0-a533803e85fe,,,preservedspecimen,,carya cordiformis,000016536,magnoliopsida,fsu,,,"wilson  baker, robert k. godfrey",,,north america,,united states,usa,leon,7ddf754f-d193-4cc9-b351-99906754a03b,1983-11-02T00:00:00+00:00,2017-01-08T07:08:27.062554+00:00,0.21739130434782608,,,,,,0c98dee5eb7c32c044adc855784fcc1ec5f61b8c,1983-11-02,juglandaceae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_phylum_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_originalnameusageid_added"", ""dwc_class_added""]",,carya,,"{""lat"": 30.4584597305, ""lon"": -84.2776697551}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,"at woodyard hammock, fairly near lake iamonia, tall timbers research station, n of tallahassee.",,,,"[""7b1352fe-e133-4380-9fff-f4d8226262ad""]",,,,,urn:uuid:effb3066-3ac1-45fa-a7d2-4e551422ad43,fagales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:effb3066-3ac1-45fa-a7d2-4e551422ad43""]",81036,b2b294ed-1742-4479-b0c8-a8891fccd7eb,carya cordiformis,cordiformis,306,florida,7393941,accepted,species,,a15a40f1-9917-4ddd-81b0-a533803e85fe,,,,
922c70b4-9175-4a49-98de-c5f8f996e0fe,,,preservedspecimen,,carya cordiformis,000016540,magnoliopsida,fsu,,,patricia  elliot,,,north america,,united states,usa,liberty,7ddf754f-d193-4cc9-b351-99906754a03b,1972-04-09T00:00:00+00:00,2014-11-17T17:23:50.665000+00:00,0.21739130434782608,,,,,,67ac10376efca516c4b732cf896355964b6e5586,1972-04-09,juglandaceae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_phylum_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_originalnameusageid_added"", ""dwc_class_added""]",,carya,,"{""lat"": 30.2411375728, ""lon"": -84.8830834555}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,torreya state park.,,,,"[""e02744e0-46f4-4d76-aead-c8e39fe31b3c""]",,,,,urn:uuid:44ae248e-3981-45de-9bb2-8eb9507f1267,fagales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:44ae248e-3981-45de-9bb2-8eb9507f1267""]",93,b2b294ed-1742-4479-b0c8-a8891fccd7eb,carya cordiformis,cordiformis,100,florida,7393941,accepted,species,,922c70b4-9175-4a49-98de-c5f8f996e0fe,,,,
3fd9e149-0d41-4eaa-8f7f-b1865edb820a,,,preservedspecimen,,carya illinoiensis,000019955,magnoliopsida,fsu,,,r.k.  godfrey,,,north america,,united states,usa,leon,7ddf754f-d193-4cc9-b351-99906754a03b,1982-05-21T00:00:00+00:00,2014-11-17T17:28:48.128000+00:00,0.21739130434782608,,,,,,0bca7b5c71883cc7ea58e5ee5f8a2a113d6c92f2,1982-05-21,juglandaceae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_phylum_added"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added""]",,carya,,"{""lat"": 30.4584597305, ""lon"": -84.2776697551}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,"by fla rt 12, 1.3 miles e of entrance to tall timbers research station.",,,,"[""117456c1-2ac5-4d31-93fa-7634fd81e215""]",,,,,urn:uuid:d8d34bb4-d8de-4d2c-ba83-06ed594a8cef,fagales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:d8d34bb4-d8de-4d2c-ba83-06ed594a8cef""]",79784,b2b294ed-1742-4479-b0c8-a8891fccd7eb,carya illinoinensis,illinoiensis,141,florida,7445032,accepted,species,,3fd9e149-0d41-4eaa-8f7f-b1865edb820a,,,,
85e89b74-a540-4f5f-b6f0-a1136ff53ec4,,,preservedspecimen,,carya aquatica,000019910,magnoliopsida,fsu,,,r.k.  godfrey,,,north america,,united states,usa,levy,7ddf754f-d193-4cc9-b351-99906754a03b,1966-05-19T00:00:00+00:00,2014-11-17T17:38:16.433000+00:00,0.2028985507246377,,,,,,4ab62edb535402cf8d6212e394f19eb2ab78da4d,1966-05-19,juglandaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_phylum_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_originalnameusageid_added"", ""dwc_class_added""]",,carya,,"{""lat"": 29.501081, ""lon"": -82.979818}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,,,,,"[""3eb11caf-8f89-4818-bdc9-812f2989e11f""]",,,,,urn:uuid:85911872-09de-465b-bfa8-33ac2794e076,fagales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:85911872-09de-465b-bfa8-33ac2794e076""]",67674,b2b294ed-1742-4479-b0c8-a8891fccd7eb,carya aquatica,aquatica,139,florida,8246850,accepted,species,,85e89b74-a540-4f5f-b6f0-a1136ff53ec4,,,,
8b1087ed-5c1b-4ba7-897d-047dc7f35843,,,preservedspecimen,,carya glabra,000016380,magnoliopsida,fsu,,,h.  kurz,,,north america,,united states,usa,liberty,7ddf754f-d193-4cc9-b351-99906754a03b,1949-11-05T00:00:00+00:00,2014-11-17T18:22:40.196000+00:00,0.2028985507246377,,,,,,302ed411c807e3629e7ca4b7da72f7581bb418a2,1949-11-05,juglandaceae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_phylum_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_originalnameusageid_added"", ""dwc_class_added""]",,carya,,"{""lat"": 30.2411375728, ""lon"": -84.8830834555}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,"rock bluff, along the apalachicola river.",,,,"[""08007f30-f079-4015-b558-6b82e2c1b43f""]",,,,,urn:uuid:dab3bd4c-8d4a-46d8-b32f-fffbf8f26252,fagales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:dab3bd4c-8d4a-46d8-b32f-fffbf8f26252""]",,b2b294ed-1742-4479-b0c8-a8891fccd7eb,carya glabra,glabra,309,florida,3054325,accepted,species,,8b1087ed-5c1b-4ba7-897d-047dc7f35843,,,,
ad9219b4-3b9e-420b-bc78-1352bc031025,,,preservedspecimen,,carya aquatica,000019917,magnoliopsida,fsu,,,"gwynn w. ramsey, r. s. mitchell, r.k.  godfrey",,,north america,,united states,usa,suwannee,7ddf754f-d193-4cc9-b351-99906754a03b,1961-07-15T00:00:00+00:00,2017-02-10T15:03:01.728717+00:00,0.21739130434782608,,,,,,6529dccdf2118cca58e75429ec34dc593debe2d8,1961-07-15,juglandaceae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_phylum_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_originalnameusageid_added"", ""dwc_class_added""]",,carya,,"{""lat"": 30.350006, ""lon"": -83.172166}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,2 miles south of hwy 90. east of ellaville.,,,,"[""599f26fb-7416-4632-ad21-a37b250770b8""]",,,,,urn:uuid:624118ab-fd20-43ba-b705-21ae099de238,fagales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:624118ab-fd20-43ba-b705-21ae099de238""]",304,b2b294ed-1742-4479-b0c8-a8891fccd7eb,carya aquatica,aquatica,196,florida,8246850,accepted,species,,ad9219b4-3b9e-420b-bc78-1352bc031025,,,,
e5273960-ca4d-4471-91fd-ec63f0605011,,,preservedspecimen,,carya alba,02108512,magnoliopsida,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,d. e. atha,,,north america,,united states,usa,hot spring co.,7ddf754f-d193-4cc9-b351-99906754a03b,2012-08-10T00:00:00+00:00,2021-08-21T02:58:27.774336+00:00,0.2318840579710145,,,,,,dcd63998b4f1066148c5ffe719f4f1d8afc4b2cd,2012-08-10,juglandaceae,,"[""geopoint_datum_missing"", ""dwc_country_replaced"", ""dwc_originalnameusageid_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonrank_replaced"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,carya,,"{""lat"": 34.402706, ""lon"": -92.885961}",,true,true,,,,,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,plantae,,,,,,,"8.3 km nw of malvern, along county road 171",,,,"[""2b0748bc-537f-4ea1-b091-ce89e0b84c65""]",,,,,aa05afc5-48bc-4a19-b187-098d36f10b55,fagales,tracheophyta,"[""36d35b23-113e-4633-90ec-19d265a3b5f6\\aa05afc5-48bc-4a19-b187-098d36f10b55""]",12312,36d35b23-113e-4633-90ec-19d265a3b5f6,carya tomentosa (poir.) nutt.,alba,223,arkansas,3054302,accepted,species,,e5273960-ca4d-4471-91fd-ec63f0605011,10 aug 2012,,,
5c062bca-2985-4108-891e-f2eca2e2cef7,,,preservedspecimen,,carya pallida,000016639,magnoliopsida,fsu,,,"robert k. godfrey, wilson  baker, angus  gholson",,,north america,,united states,usa,liberty,7ddf754f-d193-4cc9-b351-99906754a03b,1983-07-16T00:00:00+00:00,2017-01-08T07:08:27.062554+00:00,0.2318840579710145,,,,,,1f40a77e7c7679d5ade90054c712f702fd617744,1983-07-16,juglandaceae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_phylum_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added""]",,carya,,"{""lat"": 30.2411375728, ""lon"": -84.8830834555}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,"upper slope of ravine, by loop road to w of fla. rt. 270, n of big sweetwater creek.",,,,"[""ce8c72cc-6893-4d4e-a34a-e1e80ff65727""]",,,,,urn:uuid:6079c11b-b184-4575-8746-9a30cd62e4e4,fagales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:6079c11b-b184-4575-8746-9a30cd62e4e4""]",80796,b2b294ed-1742-4479-b0c8-a8891fccd7eb,carya pallida,pallida,197,florida,3054341,accepted,species,,5c062bca-2985-4108-891e-f2eca2e2cef7,,,,
3e26e9c6-fb63-4721-a4fe-2fce3bcd5d5e,,,preservedspecimen,,carya pallida,000016641,magnoliopsida,fsu,,,robert k. godfrey,,,north america,,united states,usa,liberty,7ddf754f-d193-4cc9-b351-99906754a03b,1962-10-31T00:00:00+00:00,2014-11-17T19:01:08.099000+00:00,0.2318840579710145,,,,,,187081c9921415965467c8e7c17a333366162f25,1962-10-31,juglandaceae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_phylum_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added""]",,carya,,"{""lat"": 30.2411375728, ""lon"": -84.8830834555}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,"upland woodland, at rock bluff, apalachicola river hills.",,,,"[""9cce82ba-94e1-41af-ae60-2e2e6bac5faf""]",,,,,urn:uuid:371cb73f-5b73-428b-9830-616ca05c8139,fagales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:371cb73f-5b73-428b-9830-616ca05c8139""]",62609,b2b294ed-1742-4479-b0c8-a8891fccd7eb,carya pallida,pallida,304,florida,3054341,accepted,species,,3e26e9c6-fb63-4721-a4fe-2fce3bcd5d5e,,,,
901a44e0-1268-4494-a0a8-8baa1c7eab38,,,preservedspecimen,,carya pallida,ttrs_000007242,magnoliopsida,ttrs,,,robert k. godfrey,,,north america,,united states,usa,leon,7ddf754f-d193-4cc9-b351-99906754a03b,,2014-11-17T20:35:09.863000+00:00,0.18840579710144928,,,,,,55bf8840ca60b8818b76b4abc2fec1ab87de4988,,juglandaceae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""dwc_phylum_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""gbif_reference_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added""]",,carya,,"{""lat"": 30.4584597305, ""lon"": -84.2776697551}",,true,true,,,,,ttrs,http://biocol.org/urn:lsid:biocol.org:col:15829,,plantae,,,,,,,"small tree in openly wooded area, deep sterile sandy soil, probably formerly cultivated area; near the entrance to tallahassee junior musuem.",,,,"[""7a2f8aa7-0a99-45d9-8d44-307f1e96ca69""]",,,,,urn:uuid:78d57ecd-3787-447d-8dba-c521c0819fcf,fagales,tracheophyta,"[""06c35934-1b75-4196-838d-29d509951bf9\\urn:uuid:78d57ecd-3787-447d-8dba-c521c0819fcf""]",79092,06c35934-1b75-4196-838d-29d509951bf9,carya pallida,pallida,,florida,3054341,accepted,species,,901a44e0-1268-4494-a0a8-8baa1c7eab38,,,,
