,file,Exotic,taxonomic_identification,time,Family,data.type
1,012e89f4-7725-4546-8498-f133353613a7  1981-10-06T00:00:00+00:00.jpg,N,1,3.303518465,Asteraceae,herb
2,01894287-c99f-4548-993c-178bbc839505  1965-06-13T00:00:00+00:00.jpg,N,O,48.9473896,Asteraceae,herb
3,01af64d9-e686-4c8a-a714-93f215c80b0b  1969-09-11T00:00:00+00:00.jpg,N,1,9.563624794,Asteraceae,herb
4,01eaf98a-1431-4af0-ac0b-cf8c9d4f6f9d  1968-09-19T00:00:00+00:00.jpg,N,1,95.95632992,Asteraceae,herb
5,02e7a265-1b2c-48f6-b701-dc6b9dea5ef6  1964-07-18T00:00:00+00:00.jpg,N,1,4.909213389,Asteraceae,herb
6,03c66668-668d-4e83-a353-654b06340692  2008-08-28T00:00:00+00:00.jpg,N,1,5.504149941,Asteraceae,herb
7,04096202-2cfe-49cd-a1a1-6c80727a1e11  1975-09-21T00:00:00+00:00.jpg,Y,1,13.99793354,Asteraceae,herb
8,041b1662-b6ae-4c87-beb5-264e605cbcb3  1978-08-30T00:00:00+00:00.jpg,N,1,73.36680858,Asteraceae,herb
9,042738b4-f844-4fd7-8603-1b32d61e94df  2005-10-04T00:00:00+00:00.jpg,N,1,3.811412168,Asteraceae,herb
10,0458d237-71c8-429e-ad56-0a6654185539  1949-10-08T00:00:00+00:00.jpg,N,1,36.4850652,Asteraceae,herb
11,04680abe-1405-4af1-97e1-e55c5a2a0c81  1965-10-21T00:00:00+00:00.jpg,N,O,77.73257989,Asteraceae,herb
12,04b5edae-ab82-46f4-ad34-4b708aca61c5  1963-08-09T00:00:00+00:00.jpg,N,1,14.68403659,Asteraceae,herb
13,078df91a-7232-4a02-a758-602fa62f46e3  2016-06-25T00:00:00+00:00.jpg,N,1,78.31480232,Asteraceae,herb
14,0921d54e-4870-45ee-a225-c8dd767a6b7c  1976-11-01T00:00:00+00:00.jpg,N,1,46.42792493,Asteraceae,herb
15,09ba1e71-6ab8-4ec4-b1e1-7563aec5bbfb  .jpg,N,1,8.180783389,Asteraceae,herb
16,0a2736ee-66c9-43c7-953e-ba5bb0c24cad  1991-10-02T00:00:00+00:00.jpg,N,1,55.79898849,Asteraceae,herb
17,0a346d7b-0f8c-47b1-8e7e-3f8f8533be4c  1957-08-01T00:00:00+00:00.jpg,N,1,25.83774946,Asteraceae,herb
18,0ac866ac-73e9-48ba-857f-3693658b24d4  1983-05-20T00:00:00+00:00.jpg,N,1,8.468903804,Asteraceae,herb
19,0ae0410c-9ad4-48db-b4f6-8b679d5a1a84  2008-11-20T00:00:00+00:00.jpg,N,1,17.66837996,Asteraceae,herb
20,0bbba887-2dc2-49c9-bef9-478cb3970999  1968-06-22T00:00:00+00:00.jpg,N,1,9.073592546,Asteraceae,herb
21,0c257b22-5c54-4aaf-b9ef-adc62a2ae919  2011-09-30T00:00:00+00:00.jpg,N,1,16.35748853,Asteraceae,herb
22,0d3ec9db-04ec-4eb7-be0e-725d6611d20a  2016-03-22T00:00:00+00:00.jpg,U,U,12.18475561,Asteraceae,herb
23,0d6298f6-21dc-4557-81ca-92dc86862785  2012-06-15T00:00:00+00:00.jpg,N,1,127.1033267,Asteraceae,herb
24,0d7b42ec-5292-49c9-bb26-26bdc13c000b  1966-08-04T00:00:00+00:00.jpg,N,1,11.13592484,Asteraceae,herb
25,0e950792-6499-4a44-a5bd-1c4ecede68a8  1941-08-15T00:00:00+00:00.jpg,N,1,5.205727087,Asteraceae,herb
26,0f0cccf6-92de-47ba-8374-1d119dbd0a56  1957-06-12T00:00:00+00:00.jpg,N,1,16.30984545,Asteraceae,herb
27,0f3a0448-2b9a-4028-8ad5-aac7e7e7596d  .jpg,N,1,9.381220811,Asteraceae,herb
28,0f8c1402-9036-4ba4-aa0e-b1aae0ed675d  1946-09-07T00:00:00+00:00.jpg,N,1,9.539457273,Asteraceae,herb
29,104b1e66-07a4-4657-a818-e235e380e6a9  1969-07-11T00:00:00+00:00.jpg,N,1,90.30417038,Asteraceae,herb
30,111414eb-9453-45e4-8dd5-dedad824c690  1946-10-10T00:00:00+00:00.jpg,N,1,89.95069183,Asteraceae,herb
31,1123341c-7a5a-45b7-800a-a31ed3c0b04e  1930-04-25T00:00:00+00:00.jpg,Y,1,6.073830136,Asteraceae,herb
32,115373a6-333e-4194-add1-edbf137f5064  1979-06-13T00:00:00+00:00.jpg,N,1,12.71221865,Asteraceae,herb
33,1155e7b2-21b5-4842-bf41-d0d9bf67b214  1898-06-13T00:00:00+00:00.jpg,N,1,34.24239487,Asteraceae,herb
34,12c47cc3-8c7a-4533-be71-74cf19ec6227  1952-09-14T00:00:00+00:00.jpg,N,1,15.67554638,Asteraceae,herb
35,13802c82-6bbb-48b0-82e4-eb52299cd215  2012-05-25T00:00:00+00:00.jpg,N,1,4.101556999,Asteraceae,herb
36,141b50a8-00bc-4ef3-b1ea-420e106a8851  .jpg,N,1,44.42054365,Asteraceae,herb
37,148ff0fd-54a4-46ac-95d0-41f8b1e12548  1979-09-11T00:00:00+00:00.jpg,N,1,27.43742101,Asteraceae,herb
38,1497b5dd-c0c8-4e57-816a-0ca273dbc43d  2012-09-12T00:00:00+00:00.jpg,N,1,185.582953,Asteraceae,herb
39,15d47167-1edb-4284-9f1e-85cedcf590ac  1946-07-28T00:00:00+00:00.jpg,N,1,116.8241166,Asteraceae,herb
40,15e72bd5-13a6-44c0-a654-2fc2c9582518  1989-09-18T00:00:00+00:00.jpg,N,O,14.52614168,Asteraceae,herb
