data.type,Family,tax_id,count
herb,asteraceae,correct,333
herb,apocynaceae,correct,384
herb,cyperaceae,correct,216
herb,ericaceae,correct,333
herb,fabaceae,correct,297
herb,fagaceae,correct,314
herb,gentianaceae,correct,368
herb,juglandaceae,correct,330
herb,ulmaceae,correct,363
herb,melanthiaceae,correct,325
inat,asteraceae,correct,414
inat,apocynaceae,correct,454
inat,cyperaceae,correct,346
inat,ericaceae,correct,419
inat,fabaceae,correct,454
inat,fagaceae,correct,427
inat,gentianaceae,correct,421
inat,juglandaceae,correct,410
inat,ulmaceae,correct,431
inat,melanthiaceae,correct,434
herb,asteraceae,unsure,26
herb,apocynaceae,unsure,47
herb,cyperaceae,unsure,180
herb,ericaceae,unsure,47
herb,fabaceae,unsure,57
herb,fagaceae,unsure,58
herb,gentianaceae,unsure,43
herb,juglandaceae,unsure,58
herb,ulmaceae,unsure,51
herb,melanthiaceae,unsure,54
inat,asteraceae,unsure,70
inat,apocynaceae,unsure,42
inat,cyperaceae,unsure,143
inat,ericaceae,unsure,71
inat,fabaceae,unsure,44
inat,fagaceae,unsure,57
inat,gentianaceae,unsure,74
inat,juglandaceae,unsure,80
inat,ulmaceae,unsure,58
inat,melanthiaceae,unsure,53
herb,asteraceae,incorrect,11
herb,apocynaceae,incorrect,7
herb,cyperaceae,incorrect,9
herb,ericaceae,incorrect,9
herb,fabaceae,incorrect,9
herb,fagaceae,incorrect,25
herb,gentianaceae,incorrect,17
herb,juglandaceae,incorrect,17
herb,ulmaceae,incorrect,10
herb,melanthiaceae,incorrect,14
inat,asteraceae,incorrect,5
inat,apocynaceae,incorrect,2
inat,cyperaceae,incorrect,7
inat,ericaceae,incorrect,4
inat,fabaceae,incorrect,2
inat,fagaceae,incorrect,10
inat,gentianaceae,incorrect,2
inat,juglandaceae,incorrect,10
inat,ulmaceae,incorrect,7
inat,melanthiaceae,incorrect,11
herb,asteraceae,outdated,46
herb,apocynaceae,outdated,18
herb,cyperaceae,outdated,11
herb,ericaceae,outdated,NA
herb,fabaceae,outdated,35
herb,fagaceae,outdated,30
herb,gentianaceae,outdated,NA
herb,juglandaceae,outdated,11
herb,ulmaceae,outdated,16
herb,melanthiaceae,outdated,20
inat,asteraceae,outdated,11
inat,apocynaceae,outdated,2
inat,cyperaceae,outdated,1
inat,ericaceae,outdated,NA
inat,fabaceae,outdated,0
inat,fagaceae,outdated,6
inat,gentianaceae,outdated,NA
inat,juglandaceae,outdated,0
inat,ulmaceae,outdated,0
inat,melanthiaceae,outdated,6
